,loan_percent_income,person_income,loan_intent,loan_grade,cb_person_default_on_file,loan_int_rate,person_age,loan_amnt,default
8735,0.05,60000,VENTURE,A,0,7.51,24,3000,0
8736,0.08,60000,HOMEIMPROVEMENT,C,1,15.27,25,5000,0
8737,0.22,36000,VENTURE,B,0,11.48,24,8000,0
8738,0.16,60000,DEBTCONSOLIDATION,A,0,6.03,25,9600,0
8739,0.07,60000,EDUCATION,A,0,7.9,24,4000,0
8740,0.22,36903,DEBTCONSOLIDATION,B,0,12.21,26,8000,0
8741,0.26,30996,EDUCATION,A,0,7.14,22,8000,1
8742,0.14,60000,MEDICAL,A,0,7.51,25,8650,0
8743,0.22,37000,EDUCATION,A,0,8.94,22,8000,0
8744,0.1,60000,PERSONAL,A,0,8.9,23,6000,0
8745,0.22,60000,VENTURE,A,0,7.9,22,13250,0
8746,0.26,31008,MEDICAL,D,0,11.011694892245037,25,8000,1
8747,0.02,60000,EDUCATION,A,0,6.03,23,1200,0
8748,0.26,31200,PERSONAL,D,1,14.3,22,8000,1
8749,0.21,37440,EDUCATION,E,0,14.18,23,8000,0
8750,0.21,37500,VENTURE,C,0,14.26,23,8000,0
8751,0.21,37648,MEDICAL,A,0,7.29,24,8000,0
8752,0.02,60000,MEDICAL,B,0,10.99,22,1000,0
8753,0.25,60000,VENTURE,D,1,16.49,22,15000,0
8754,0.03,54000,DEBTCONSOLIDATION,A,0,5.42,24,1500,1
8755,0.28,60000,EDUCATION,B,0,11.99,22,16800,0
8756,0.21,37876,MEDICAL,B,0,9.63,24,8000,0
8757,0.2,60000,EDUCATION,A,0,5.99,23,12000,0
8758,0.3,60000,DEBTCONSOLIDATION,C,0,12.99,22,18000,0
8759,0.04,60000,EDUCATION,D,0,15.99,22,2500,0
8760,0.11,60000,MEDICAL,B,0,10.99,22,6750,0
8761,0.14,60000,VENTURE,D,0,16.89,25,8400,0
8762,0.21,38000,PERSONAL,B,0,10.65,23,8000,0
8763,0.27,60000,EDUCATION,A,0,7.49,23,16000,0
8764,0.21,38000,MEDICAL,B,0,12.69,26,8000,0
8765,0.21,38000,MEDICAL,B,0,11.49,24,8000,0
8766,0.35,60000,EDUCATION,B,0,11.011694892245037,23,21000,0
8767,0.12,60000,PERSONAL,B,0,9.99,25,6900,0
8768,0.17,60000,DEBTCONSOLIDATION,B,0,11.49,25,10000,0
8769,0.03,60000,HOMEIMPROVEMENT,A,0,11.011694892245037,26,2000,0
8770,0.13,60000,DEBTCONSOLIDATION,A,0,6.99,22,8000,0
8771,0.15,60000,EDUCATION,A,0,6.99,23,8850,0
8772,0.16,54000,EDUCATION,A,0,5.42,26,8500,1
8773,0.21,38000,MEDICAL,A,0,6.17,23,8000,0
8774,0.21,38004,DEBTCONSOLIDATION,B,0,11.36,22,8000,0
8775,0.21,38400,EDUCATION,A,0,7.88,22,8000,0
8776,0.24,32698,DEBTCONSOLIDATION,F,1,18.43,23,8000,1
8777,0.12,60000,DEBTCONSOLIDATION,C,0,12.99,23,7000,0
8778,0.21,39000,DEBTCONSOLIDATION,A,0,6.62,26,8000,0
8779,0.25,60000,VENTURE,A,0,8.49,25,15000,0
8780,0.07,54000,VENTURE,D,0,15.62,23,4000,1
8781,0.13,60000,EDUCATION,C,1,13.49,23,8000,0
8782,0.09,54000,DEBTCONSOLIDATION,B,0,11.49,26,4800,1
8783,0.06,60000,EDUCATION,B,0,9.99,22,3500,0
8784,0.2,39860,PERSONAL,B,0,11.11,22,8000,0
8785,0.2,39996,PERSONAL,A,0,7.14,22,8000,0
8786,0.28,60000,MEDICAL,A,0,7.49,24,17000,0
8787,0.09,60000,PERSONAL,A,0,5.99,22,5200,0
8788,0.24,33996,PERSONAL,B,0,10.95,23,8000,1
8789,0.2,40000,DEBTCONSOLIDATION,B,0,12.42,25,8000,0
8790,0.08,60000,HOMEIMPROVEMENT,B,0,9.99,26,5000,0
8791,0.2,40000,VENTURE,A,0,7.9,22,8000,0
8792,0.06,60000,PERSONAL,A,0,5.99,25,3600,0
8793,0.2,40000,EDUCATION,C,0,12.99,22,8000,0
8794,0.09,60000,VENTURE,A,0,7.49,22,5600,0
8795,0.24,34000,VENTURE,D,1,16.49,24,8000,1
8796,0.2,40000,EDUCATION,B,0,11.49,23,8000,0
8797,0.09,60000,EDUCATION,B,0,10.99,23,5600,0
8798,0.2,40000,DEBTCONSOLIDATION,B,0,9.63,21,8000,0
8799,0.1,54000,MEDICAL,C,0,13.99,23,5200,1
8800,0.2,40000,MEDICAL,B,0,9.63,24,8000,0
8801,0.2,40000,PERSONAL,A,0,6.17,24,8000,0
8802,0.2,40000,DEBTCONSOLIDATION,B,0,11.36,22,8000,0
8803,0.33,60000,EDUCATION,A,0,7.49,23,20000,0
8804,0.2,40000,VENTURE,B,0,10.25,24,8000,0
8805,0.08,60000,VENTURE,A,0,11.011694892245037,25,5000,0
8806,0.25,60000,VENTURE,D,1,16.89,24,15000,0
8807,0.2,40000,EDUCATION,B,0,12.18,22,8000,0
8808,0.07,60000,EDUCATION,A,0,5.42,24,4000,0
8809,0.2,40560,VENTURE,A,0,7.66,24,8000,0
8810,0.17,60000,DEBTCONSOLIDATION,D,0,16.49,25,10000,0
8811,0.1,60000,DEBTCONSOLIDATION,A,0,5.42,24,6000,0
8812,0.2,41000,VENTURE,B,0,10.99,25,8000,0
8813,0.23,35000,PERSONAL,F,1,19.79,21,8000,1
8814,0.17,60000,PERSONAL,A,0,8.49,25,10425,0
8815,0.23,35000,DEBTCONSOLIDATION,D,1,15.31,26,8000,1
8816,0.17,60000,EDUCATION,A,0,5.99,22,10000,0
8817,0.21,60000,MEDICAL,B,0,11.49,25,12500,0
8818,0.14,60000,VENTURE,B,0,10.59,24,8500,0
8819,0.19,41579,VENTURE,C,1,13.92,25,8000,0
8820,0.09,54000,MEDICAL,D,1,15.62,26,5000,1
8821,0.19,41600,MEDICAL,B,0,10.59,24,8000,0
8822,0.16,60000,PERSONAL,C,0,12.99,24,9600,0
8823,0.08,60000,MEDICAL,C,0,12.99,23,5000,0
8824,0.22,36000,MEDICAL,A,0,7.51,23,8000,1
8825,0.07,60000,EDUCATION,A,0,11.011694892245037,25,4000,0
8826,0.17,60000,DEBTCONSOLIDATION,A,0,5.99,21,10000,0
8827,0.03,60000,PERSONAL,A,0,8.49,25,1800,0
8828,0.19,42000,EDUCATION,B,0,11.011694892245037,24,8000,0
8829,0.22,36000,PERSONAL,B,0,12.12,24,8000,1
8830,0.19,54000,DEBTCONSOLIDATION,D,1,16.89,25,10000,1
8831,0.19,42000,VENTURE,A,0,5.99,25,8000,0
8832,0.07,60000,DEBTCONSOLIDATION,A,0,5.99,25,4000,0
8833,0.05,60000,EDUCATION,B,0,10.99,22,2800,0
8834,0.22,36000,PERSONAL,D,0,15.28,24,8000,1
8835,0.08,60000,DEBTCONSOLIDATION,A,0,5.99,22,5000,0
8836,0.17,60000,MEDICAL,A,0,11.011694892245037,22,10000,0
8837,0.1,60000,EDUCATION,A,0,6.62,22,6000,0
8838,0.17,60000,VENTURE,A,0,5.42,23,10000,0
8839,0.19,42000,VENTURE,B,0,9.25,24,8000,0
8840,0.19,42000,EDUCATION,A,0,11.011694892245037,25,8000,0
8841,0.22,36000,PERSONAL,C,1,12.73,25,8000,1
8842,0.08,60000,EDUCATION,A,0,7.49,22,4800,0
8843,0.03,60000,PERSONAL,C,1,15.23,23,2000,0
8844,0.22,36000,VENTURE,D,1,14.96,24,8000,1
8845,0.19,42000,VENTURE,C,0,12.84,23,8000,0
8846,0.19,42500,PERSONAL,C,1,11.011694892245037,25,8000,0
8847,0.22,36816,PERSONAL,B,0,10.65,24,8000,1
8848,0.35,60000,MEDICAL,C,1,11.011694892245037,24,21000,0
8849,0.19,42996,PERSONAL,B,0,11.11,23,8000,0
8850,0.19,43000,DEBTCONSOLIDATION,B,0,10.37,23,8000,0
8851,0.04,60000,EDUCATION,A,0,6.99,22,2500,0
8852,0.11,54000,DEBTCONSOLIDATION,D,0,11.011694892245037,22,6000,1
8853,0.05,60000,DEBTCONSOLIDATION,A,0,5.99,25,3000,0
8854,0.2,60000,MEDICAL,B,0,9.99,24,12000,0
8855,0.19,43000,MEDICAL,C,1,12.87,26,8000,0
8856,0.19,43200,EDUCATION,A,0,5.99,22,8000,0
8857,0.17,60000,PERSONAL,A,0,5.42,22,10000,0
8858,0.19,43200,VENTURE,B,0,11.011694892245037,25,8000,0
8859,0.18,43300,MEDICAL,A,0,7.29,24,8000,0
8860,0.18,43800,VENTURE,E,0,17.93,23,8000,0
8861,0.25,60000,DEBTCONSOLIDATION,A,0,7.49,22,15000,0
8862,0.18,44000,PERSONAL,C,0,13.8,26,8000,0
8863,0.18,44684,DEBTCONSOLIDATION,C,1,12.04,22,8000,0
8864,0.2,60000,PERSONAL,C,1,13.99,22,12000,0
8865,0.22,54000,EDUCATION,D,0,17.49,25,12000,1
8866,0.18,45000,EDUCATION,D,0,18.25,26,8000,0
8867,0.05,60000,DEBTCONSOLIDATION,A,0,5.42,25,3200,0
8868,0.21,39000,DEBTCONSOLIDATION,D,0,16.49,23,8000,1
8869,0.21,39000,DEBTCONSOLIDATION,C,0,11.011694892245037,24,8000,1
8870,0.06,60000,PERSONAL,A,0,5.42,23,3800,0
8871,0.18,45000,PERSONAL,B,0,10.38,25,8000,0
8872,0.13,60000,EDUCATION,A,0,7.66,26,7875,0
8873,0.18,45000,PERSONAL,D,1,15.33,26,8000,0
8874,0.21,39000,HOMEIMPROVEMENT,B,0,11.36,23,8000,1
8875,0.18,45000,MEDICAL,C,1,12.73,24,8000,0
8876,0.18,60000,EDUCATION,B,0,11.11,22,10950,0
8877,0.22,60000,MEDICAL,A,0,7.29,24,13000,0
8878,0.17,60000,MEDICAL,A,0,6.92,23,10000,0
8879,0.15,60000,EDUCATION,B,0,10.37,22,8800,0
8880,0.07,60000,MEDICAL,A,0,7.66,23,4000,0
8881,0.18,45000,DEBTCONSOLIDATION,C,1,12.84,22,8000,0
8882,0.18,45000,EDUCATION,C,0,13.47,25,8000,0
8883,0.18,45000,EDUCATION,D,1,11.011694892245037,21,8000,0
8884,0.21,39000,PERSONAL,C,1,11.34,25,8000,1
8885,0.18,45286,PERSONAL,A,0,7.29,23,8000,0
8886,0.17,45996,EDUCATION,A,0,7.51,22,8000,0
8887,0.11,60000,HOMEIMPROVEMENT,A,0,5.79,25,6500,0
8888,0.17,46000,DEBTCONSOLIDATION,A,0,6.17,22,8000,0
8889,0.08,60000,VENTURE,A,0,7.29,25,5000,0
8890,0.08,60000,MEDICAL,A,0,6.92,26,5000,0
8891,0.2,60000,DEBTCONSOLIDATION,A,0,7.29,23,12000,0
8892,0.37,60000,MEDICAL,C,1,13.06,23,22000,0
8893,0.2,40000,EDUCATION,B,0,9.88,24,8000,1
8894,0.21,60000,VENTURE,A,0,6.92,26,12500,0
8895,0.17,46330,PERSONAL,B,0,10.65,23,8000,0
8896,0.17,46700,EDUCATION,D,1,15.65,24,8000,0
8897,0.2,41000,DEBTCONSOLIDATION,B,0,9.91,21,8000,1
8898,0.17,47000,PERSONAL,B,0,10.0,26,8000,0
8899,0.17,47000,EDUCATION,B,0,12.18,22,8000,0
8900,0.17,60000,PERSONAL,A,0,11.011694892245037,22,10000,0
8901,0.25,60000,MEDICAL,B,0,10.37,23,15000,0
8902,0.22,60000,MEDICAL,C,1,14.17,25,13000,0
8903,0.17,60000,PERSONAL,B,0,10.37,24,10000,0
8904,0.05,60000,PERSONAL,A,0,7.29,26,3050,0
8905,0.33,60000,EDUCATION,B,0,10.74,26,20000,0
8906,0.13,60000,VENTURE,A,0,7.29,22,7800,0
8907,0.17,47004,DEBTCONSOLIDATION,C,1,12.53,25,8000,0
8908,0.17,48000,VENTURE,B,0,11.011694892245037,23,8000,0
8909,0.19,42000,MEDICAL,D,0,16.29,24,8000,1
8910,0.17,48000,DEBTCONSOLIDATION,A,0,8.49,23,8000,0
8911,0.17,48000,DEBTCONSOLIDATION,C,1,12.99,22,8000,0
8912,0.26,60000,VENTURE,B,0,11.11,24,15850,0
8913,0.19,60000,VENTURE,A,0,5.79,22,11200,0
8914,0.17,48000,VENTURE,B,0,10.59,25,8000,0
8915,0.17,48000,VENTURE,C,1,12.99,23,8000,0
8916,0.12,60000,DEBTCONSOLIDATION,A,0,11.011694892245037,23,7200,0
8917,0.08,60000,HOMEIMPROVEMENT,A,0,7.29,25,5000,0
8918,0.2,60000,PERSONAL,B,0,10.0,22,12000,0
8919,0.17,48000,DEBTCONSOLIDATION,A,0,7.51,24,8000,0
8920,0.17,48000,EDUCATION,C,0,14.35,25,8000,0
8921,0.19,42000,HOMEIMPROVEMENT,D,0,15.58,23,8000,1
8922,0.09,60000,HOMEIMPROVEMENT,B,0,10.74,25,5500,0
8923,0.17,48000,PERSONAL,C,0,13.11,25,8000,0
8924,0.17,48000,DEBTCONSOLIDATION,B,0,9.96,26,8000,0
8925,0.16,48500,MEDICAL,C,0,15.96,24,8000,0
8926,0.1,60000,VENTURE,A,0,6.17,22,6125,0
8927,0.16,48701,MEDICAL,B,0,11.48,26,8000,0
8928,0.16,49244,EDUCATION,A,0,8.0,25,8000,0
8929,0.16,49992,VENTURE,D,1,15.95,24,8000,0
8930,0.18,44000,VENTURE,D,0,16.29,21,8000,1
8931,0.16,50000,PERSONAL,C,0,15.96,24,8000,0
8932,0.16,50000,MEDICAL,B,0,12.42,24,8000,0
8933,0.16,50000,EDUCATION,C,0,14.27,23,8000,0
8934,0.16,50000,EDUCATION,A,0,6.62,22,8000,0
8935,0.16,50000,EDUCATION,A,0,6.62,23,8000,0
8936,0.08,60000,EDUCATION,A,0,6.54,22,5000,0
8937,0.15,60000,VENTURE,B,0,11.011694892245037,24,9000,0
8938,0.16,50000,VENTURE,A,0,7.9,25,8000,0
8939,0.18,44000,EDUCATION,C,1,13.49,23,8000,1
8940,0.11,60000,HOMEIMPROVEMENT,A,0,6.17,25,6500,0
8941,0.03,60000,EDUCATION,C,1,12.61,22,2000,0
8942,0.15,60000,EDUCATION,A,0,6.91,26,9000,0
8943,0.16,50000,EDUCATION,A,0,7.49,23,8000,0
8944,0.16,50000,DEBTCONSOLIDATION,B,0,9.99,24,8000,0
8945,0.08,60000,EDUCATION,A,0,5.79,24,5000,0
8946,0.17,60000,MEDICAL,B,0,11.011694892245037,23,10000,0
8947,0.18,44000,EDUCATION,D,0,15.21,21,8000,1
8948,0.2,60000,VENTURE,B,0,9.62,24,12000,0
8949,0.13,60000,EDUCATION,C,1,12.23,21,8000,0
8950,0.2,60000,PERSONAL,A,0,11.011694892245037,23,12000,0
8951,0.13,60000,DEBTCONSOLIDATION,B,0,9.99,21,7800,0
8952,0.03,60000,PERSONAL,A,0,6.54,22,2000,0
8953,0.16,50000,DEBTCONSOLIDATION,C,0,13.85,25,8000,0
8954,0.16,60000,MEDICAL,B,0,8.88,24,9700,0
8955,0.12,60000,DEBTCONSOLIDATION,C,0,11.011694892245037,26,7200,0
8956,0.16,50000,VENTURE,C,0,11.011694892245037,23,8000,0
8957,0.16,50000,PERSONAL,B,0,12.18,22,8000,0
8958,0.03,60000,PERSONAL,B,0,10.36,23,2000,0
8959,0.16,50000,EDUCATION,A,0,7.74,24,8000,0
8960,0.12,60000,EDUCATION,A,0,6.54,23,7000,0
8961,0.16,50000,PERSONAL,C,1,13.16,22,8000,0
8962,0.18,44000,MEDICAL,D,0,12.92,25,8000,1
8963,0.1,60000,PERSONAL,A,0,6.91,21,6000,0
8964,0.33,60000,PERSONAL,A,0,6.54,23,20000,0
8965,0.13,60000,DEBTCONSOLIDATION,A,0,5.79,25,8000,0
8966,0.12,60000,DEBTCONSOLIDATION,A,0,11.011694892245037,23,7200,0
8967,0.16,50004,MEDICAL,C,0,12.73,23,8000,0
8968,0.16,50049,DEBTCONSOLIDATION,C,0,12.99,26,8000,0
8969,0.16,50400,VENTURE,D,1,15.62,21,8000,0
8970,0.12,60000,EDUCATION,B,0,9.62,26,7000,0
8971,0.22,60000,EDUCATION,A,0,6.91,23,13000,0
8972,0.08,60000,MEDICAL,B,0,11.011694892245037,26,5000,0
8973,0.17,60000,EDUCATION,B,0,10.36,25,10000,0
8974,0.15,51996,MEDICAL,B,0,10.37,25,8000,0
8975,0.15,52000,HOMEIMPROVEMENT,B,0,10.99,24,8000,0
8976,0.15,52000,MEDICAL,A,0,7.51,24,8000,0
8977,0.15,52000,EDUCATION,B,0,10.25,26,8000,0
8978,0.15,52000,DEBTCONSOLIDATION,C,0,13.22,23,8000,0
8979,0.17,46000,PERSONAL,D,0,14.42,26,8000,1
8980,0.14,60000,PERSONAL,D,1,15.58,22,8700,0
8981,0.15,52000,EDUCATION,C,0,11.78,24,8000,0
8982,0.17,46000,EDUCATION,D,0,11.86,23,8000,1
8983,0.17,60000,VENTURE,B,0,11.49,25,10000,0
8984,0.33,60000,VENTURE,A,0,7.88,24,20000,0
8985,0.27,60000,MEDICAL,A,0,7.88,25,16000,0
8986,0.17,46500,HOMEIMPROVEMENT,C,1,15.23,24,8000,1
8987,0.15,52800,MEDICAL,C,1,12.87,24,8000,0
8988,0.27,60000,VENTURE,D,0,11.011694892245037,21,16000,0
8989,0.23,60000,DEBTCONSOLIDATION,C,0,11.011694892245037,24,14000,0
8990,0.15,53000,EDUCATION,C,0,12.23,25,8000,0
8991,0.15,53000,MEDICAL,C,1,14.26,23,8000,0
8992,0.2,60000,EDUCATION,A,0,7.88,23,12000,0
8993,0.33,60000,EDUCATION,B,0,11.12,22,20000,0
8994,0.15,53688,DEBTCONSOLIDATION,A,0,5.42,26,8000,0
8995,0.15,54000,DEBTCONSOLIDATION,B,0,10.99,23,8000,0
8996,0.17,48000,DEBTCONSOLIDATION,D,0,15.58,23,8000,1
8997,0.15,54000,MEDICAL,A,0,7.88,24,8000,0
8998,0.29,60000,MEDICAL,A,0,7.88,22,17500,0
8999,0.15,54000,MEDICAL,A,0,8.07,24,8000,0
9000,0.19,54000,DEBTCONSOLIDATION,E,0,16.45,23,10000,1
9001,0.15,54500,DEBTCONSOLIDATION,A,0,11.011694892245037,23,8000,0
9002,0.15,54600,DEBTCONSOLIDATION,A,0,7.51,22,8000,0
9003,0.15,54600,HOMEIMPROVEMENT,C,1,13.8,26,8000,0
9004,0.16,48996,PERSONAL,D,1,14.96,22,8000,1
9005,0.25,60000,PERSONAL,D,1,15.21,23,15000,0
9006,0.14,54000,MEDICAL,D,0,15.58,23,7500,1
9007,0.15,55000,PERSONAL,B,0,10.65,23,8000,0
9008,0.14,54000,EDUCATION,B,0,10.38,23,7750,1
9009,0.15,55000,PERSONAL,B,0,11.71,22,8000,0
9010,0.15,55000,MEDICAL,A,0,5.42,23,8000,0
9011,0.11,54000,HOMEIMPROVEMENT,C,1,13.98,26,6000,1
9012,0.03,60000,VENTURE,B,0,11.12,23,2000,0
9013,0.23,60000,DEBTCONSOLIDATION,A,0,7.51,24,14000,0
9014,0.1,60000,EDUCATION,B,0,11.12,22,5900,0
9015,0.15,55000,HOMEIMPROVEMENT,C,1,13.8,24,8000,0
9016,0.15,55000,EDUCATION,B,0,9.25,23,8000,0
9017,0.12,60000,VENTURE,A,0,11.011694892245037,25,7000,0
9018,0.12,60000,VENTURE,C,1,13.61,22,7000,0
9019,0.04,60000,PERSONAL,C,1,13.61,24,2400,0
9020,0.16,49000,EDUCATION,A,0,6.91,22,8000,1
9021,0.15,55000,VENTURE,C,0,13.11,23,8000,0
9022,0.13,60000,EDUCATION,A,0,7.14,22,8000,0
9023,0.07,60000,MEDICAL,A,0,6.39,25,4000,0
9024,0.04,60000,PERSONAL,B,0,11.49,24,2600,0
9025,0.16,49161,HOMEIMPROVEMENT,D,1,13.17,23,8000,1
9026,0.14,55550,DEBTCONSOLIDATION,B,0,11.011694892245037,23,8000,0
9027,0.16,60000,VENTURE,A,0,11.011694892245037,26,9800,0
9028,0.14,56000,VENTURE,A,0,5.99,25,8000,0
9029,0.23,60000,EDUCATION,B,0,11.12,25,14000,0
9030,0.16,50000,DEBTCONSOLIDATION,D,0,16.02,23,8000,1
9031,0.1,60000,VENTURE,B,0,10.38,22,6000,0
9032,0.14,56000,EDUCATION,B,0,10.0,23,8000,0
9033,0.14,56000,MEDICAL,A,0,7.51,24,8000,0
9034,0.3,54000,HOMEIMPROVEMENT,A,0,7.51,22,16000,1
9035,0.17,60000,EDUCATION,A,0,11.011694892245037,23,10500,0
9036,0.07,60000,HOMEIMPROVEMENT,B,0,11.86,24,4000,0
9037,0.12,60000,DEBTCONSOLIDATION,A,0,7.14,24,7000,0
9038,0.08,60000,PERSONAL,A,0,7.88,24,5000,0
9039,0.33,60000,EDUCATION,A,0,7.88,23,20000,0
9040,0.14,57600,HOMEIMPROVEMENT,A,0,7.66,25,8000,0
9041,0.14,57750,EDUCATION,A,0,7.49,23,8000,0
9042,0.14,57996,DEBTCONSOLIDATION,A,0,7.14,23,8000,0
9043,0.05,60000,HOMEIMPROVEMENT,D,1,14.59,25,3000,0
9044,0.2,60000,VENTURE,B,0,10.99,25,12000,0
9045,0.02,60000,HOMEIMPROVEMENT,C,1,14.22,25,1400,0
9046,0.15,52000,EDUCATION,C,1,13.99,24,8000,1
9047,0.14,58000,EDUCATION,B,0,10.37,23,8000,0
9048,0.15,52000,VENTURE,D,0,15.58,22,8000,1
9049,0.17,60000,MEDICAL,C,1,11.011694892245037,22,10000,0
9050,0.42,60000,MEDICAL,B,0,10.99,25,25000,0
9051,0.14,58033,VENTURE,B,0,10.62,24,8000,0
9052,0.23,60000,EDUCATION,A,0,7.88,22,14000,0
9053,0.14,58600,MEDICAL,C,1,11.011694892245037,23,8000,0
9054,0.19,54000,MEDICAL,C,0,11.011694892245037,26,10000,1
9055,0.1,60000,VENTURE,B,0,10.62,21,6000,0
9056,0.15,54000,HOMEIMPROVEMENT,B,0,9.91,25,8000,1
9057,0.13,60000,DEBTCONSOLIDATION,C,0,13.49,22,8000,0
9058,0.13,60000,EDUCATION,B,0,10.0,22,8000,0
9059,0.13,60000,VENTURE,A,0,5.42,25,8000,0
9060,0.13,60000,PERSONAL,B,0,9.63,25,8000,0
9061,0.17,60000,MEDICAL,C,1,11.011694892245037,21,10000,0
9062,0.13,60000,MEDICAL,B,0,11.86,25,8000,0
9063,0.22,60000,PERSONAL,A,0,7.88,23,13000,0
9064,0.13,60000,MEDICAL,C,0,13.61,26,8000,0
9065,0.13,60000,MEDICAL,C,1,14.72,22,8000,0
9066,0.15,54000,HOMEIMPROVEMENT,B,0,11.49,25,8000,1
9067,0.13,60000,EDUCATION,B,0,10.25,23,8000,0
9068,0.13,60000,MEDICAL,A,0,7.88,22,8000,0
9069,0.15,54000,EDUCATION,C,1,13.48,22,8000,1
9070,0.05,60000,VENTURE,A,0,6.76,22,3000,0
9071,0.13,60000,DEBTCONSOLIDATION,B,0,11.011694892245037,23,8000,0
9072,0.16,54000,DEBTCONSOLIDATION,D,0,14.59,25,8400,1
9073,0.13,60000,HOMEIMPROVEMENT,D,1,14.59,24,8000,0
9074,0.13,60000,EDUCATION,A,0,8.94,23,8000,0
9075,0.13,60000,VENTURE,B,0,11.14,23,8000,0
9076,0.2,60000,EDUCATION,B,0,11.36,21,12000,0
9077,0.07,60000,DEBTCONSOLIDATION,A,0,7.14,23,4000,0
9078,0.13,60000,EDUCATION,B,0,11.26,21,8000,0
9079,0.08,60000,MEDICAL,A,0,7.14,24,5000,0
9080,0.13,60000,VENTURE,B,0,12.21,23,8000,0
9081,0.13,60000,PERSONAL,B,0,11.14,22,8000,0
9082,0.13,60228,MEDICAL,C,1,12.98,23,8000,0
9083,0.13,60400,VENTURE,B,0,9.25,23,8000,0
9084,0.15,54780,PERSONAL,B,0,10.65,23,8000,1
9085,0.18,60000,EDUCATION,A,0,7.88,23,10750,0
9086,0.22,54000,DEBTCONSOLIDATION,C,0,12.73,25,12000,1
9087,0.13,61000,VENTURE,C,1,13.22,23,8000,0
9088,0.15,55000,PERSONAL,D,0,15.31,22,8000,1
9089,0.15,55000,HOMEIMPROVEMENT,D,0,14.61,24,8000,1
9090,0.05,60000,MEDICAL,C,1,12.73,22,3250,0
9091,0.21,60000,DEBTCONSOLIDATION,C,1,13.11,22,12500,0
9092,0.13,61440,VENTURE,B,0,10.36,25,8000,0
9093,0.14,55700,HOMEIMPROVEMENT,C,1,13.49,26,8000,1
9094,0.13,61995,VENTURE,B,0,9.99,25,8000,0
9095,0.11,46000,VENTURE,D,1,17.27,21,5200,1
9096,0.09,54000,DEBTCONSOLIDATION,D,1,14.96,23,5000,1
9097,0.1,52000,EDUCATION,C,1,11.011694892245037,22,5200,0
9098,0.1,54000,MEDICAL,B,0,11.71,23,5200,0
9099,0.1,54000,PERSONAL,B,0,10.37,24,5200,1
9100,0.12,60000,VENTURE,A,0,7.14,22,7000,0
9101,0.08,62000,MEDICAL,C,0,15.96,26,5200,0
9102,0.22,54000,HOMEIMPROVEMENT,C,0,13.48,22,12000,1
9103,0.19,60000,VENTURE,A,0,7.88,22,11500,0
9104,0.08,65000,PERSONAL,B,0,9.99,25,5200,0
9105,0.17,60000,EDUCATION,A,0,11.011694892245037,23,10000,0
9106,0.34,15000,DEBTCONSOLIDATION,B,0,12.18,23,5175,1
9107,0.25,21000,DEBTCONSOLIDATION,B,0,12.53,25,5175,1
9108,0.02,60000,VENTURE,C,0,13.85,25,1200,0
9109,0.09,54000,DEBTCONSOLIDATION,A,0,5.99,21,5125,1
9110,0.08,60000,DEBTCONSOLIDATION,C,0,13.48,21,5000,0
9111,0.1,60000,DEBTCONSOLIDATION,C,1,13.11,22,6000,0
9112,0.09,60000,MEDICAL,B,0,11.86,22,5125,0
9113,0.18,28000,EDUCATION,B,0,11.89,26,5100,0
9114,0.31,60000,MEDICAL,D,0,15.33,23,18500,0
9115,0.09,60000,EDUCATION,B,0,10.99,25,5500,0
9116,0.16,32000,VENTURE,A,0,8.38,25,5100,0
9117,0.14,35368,DEBTCONSOLIDATION,C,0,12.99,21,5100,0
9118,0.14,37200,MEDICAL,A,0,7.49,21,5100,0
9119,0.19,60000,PERSONAL,A,0,7.88,26,11500,0
9120,0.11,45000,MEDICAL,B,0,10.0,25,5100,0
9121,0.08,60000,MEDICAL,B,0,11.83,22,5000,0
9122,0.4,60000,VENTURE,D,1,15.31,22,24250,0
9123,0.1,53000,EDUCATION,A,0,7.9,24,5100,0
9124,0.09,56000,PERSONAL,A,0,8.0,26,5100,0
9125,0.04,60000,VENTURE,B,0,11.48,23,2450,0
9126,0.05,60000,VENTURE,F,0,19.13,23,3000,0
9127,0.15,33600,PERSONAL,A,0,5.79,25,5075,0
9128,0.14,36000,DEBTCONSOLIDATION,B,0,11.011694892245037,22,5075,0
9129,0.13,60000,PERSONAL,B,0,12.53,23,8000,0
9130,0.15,34000,MEDICAL,D,0,16.89,26,5050,1
9131,0.08,66000,HOMEIMPROVEMENT,B,0,11.49,25,5050,0
9132,0.25,60000,MEDICAL,B,0,11.83,24,15000,0
9133,0.07,60000,MEDICAL,A,0,7.4,23,4500,0
9134,0.07,74000,PERSONAL,A,0,5.42,22,5050,0
9135,0.13,40000,DEBTCONSOLIDATION,C,0,13.43,22,5025,0
9136,0.5,10000,PERSONAL,D,1,12.17,21,5000,1
9137,0.03,60000,MEDICAL,A,0,7.4,22,2000,0
9138,0.47,10668,HOMEIMPROVEMENT,A,0,7.88,24,5000,1
9139,0.46,10800,VENTURE,A,0,7.88,24,5000,1
9140,0.08,60000,MEDICAL,A,0,11.011694892245037,23,5000,0
9141,0.42,12000,VENTURE,B,0,11.49,21,5000,1
9142,0.42,12000,VENTURE,A,0,6.92,26,5000,1
9143,0.4,12360,VENTURE,B,0,10.75,21,5000,1
9144,0.33,60000,EDUCATION,B,0,12.18,23,20000,0
